_u1.oktmo_code,_u1.osm_name,_u1.region_code
33603000,Афанасьевский район,KIR
33605000,Белохолуницкий район,KIR
33606000,Богородский район,KIR
33607000,Верхнекамский район,KIR
33608000,Верхошижемский район,KIR
33610000,Вятскополянский район,KIR
33612000,Даровской район,KIR
33614000,Зуевский район,KIR
33616000,Кикнурский район,KIR
33617000,Кильмезский район,KIR
33618000,Кирово-Чепецкий район,KIR
33619000,Котельничский район,KIR
33620000,Куменский район,KIR
33621000,Лебяжский район,KIR
33622000,Лузский район,KIR
33623000,Малмыжский район,KIR
33624000,Мурашинский район,KIR
33625000,Нагорский район,KIR
33626000,Немский район,KIR
33627000,Нолинский район,KIR
33628000,Омутнинский район,KIR
33629000,Опаринский район,KIR
33630000,Оричевский район,KIR
33631000,Пижанский район,KIR
33632000,Подосиновский район,KIR
33633000,Санчурский район,KIR
33634000,Свечинский район,KIR
33635000,Слободской район,KIR
33636000,Советский район,KIR
33637000,Сунский район,KIR
33638000,Тужинский район,KIR
33640000,Унинский район,KIR
33641000,Уржумский район,KIR
33643000,Фаленский район,KIR
33645000,Орловский район,KIR
33647000,Шабалинский район,KIR
33649000,Юрьянский район,KIR
33650000,Яранский район,KIR
33701000,Киров,KIR
33704000,Вятские Поляны,KIR
33707000,Кирово-Чепецк,KIR
33710000,Котельнич,KIR
33713000,Слободской,KIR
33787000,ЗАТО Первомайский,KIR
34602000,Антроповский район,KOS
34604000,Буйский район,KOS
34606000,Вохомский район,KOS
34608000,Галичский район,KOS
34610000,Кадыйский район,KOS
34612000,Кологривский район,KOS
34614000,Костромской район,KOS
34616000,Красносельский район,KOS
34618000,Макарьевский район,KOS
34620000,Мантуровский район,KOS
34622000,Межевской район,KOS
34624000,Нейский район,KOS
34626000,Нерехтский район,KOS
34628000,Октябрьский район,KOS
34630000,Островский район,KOS
34632000,Павинский район,KOS
34634000,Парфеньевский район,KOS
34636000,Поназыревский район,KOS
34638000,Пыщугский район,KOS
34640000,Солигаличский район,KOS
34642000,Судиславский район,KOS
34644000,Сусанинский район,KOS
34646000,Чухломский район,KOS
34648000,Шарьинский район,KOS
34701000,Кострома,KOS
34705000,городской округ Буй,KOS
34706000,городской округ Волгореченск,KOS
34708000,городской округ Галич,KOS
34714000,городской округ Мантурово,KOS
34730000,городской округ Шарья,KOS
3601000,Абинский район,KRD
3605000,Апшеронский район,KRD
3607000,Белоглинский район,KRD
3608000,Белореченский район,KRD
3610000,Брюховецкий район,KRD
3612000,Выселковский район,KRD
3613000,Гулькевичский район,KRD
3614000,Динской район,KRD
3616000,Ейский район,KRD
3618000,Кавказский район,KRD
3619000,Калининский район,KRD
3621000,Кореновский район,KRD
3623000,Красноармейский район,KRD
3624000,Крыловский район,KRD
3625000,Крымский район,KRD
3627000,Курганинский район,KRD
3628000,Кущёвский район,KRD
3630000,Лабинский район,KRD
3632000,Ленинградский район,KRD
3633000,Мостовский район,KRD
3634000,Новокубанский район,KRD
3635000,Новопокровский район,KRD
3637000,Отрадненский район,KRD
3639000,Павловский район,KRD
3641000,Приморско-Ахтарский район,KRD
3643000,Северский район,KRD
3645000,Славянский район,KRD
3647000,Староминский район,KRD
3649000,Тбилисский район,KRD
3651000,Темрюкский район,KRD
3653000,Тимашевский район,KRD
3654000,Тихорецкий район,KRD
3655000,Туапсинский район,KRD
3656000,Успенский район,KRD
3657000,Усть-Лабинский район,KRD
3659000,Щербиновский район,KRD
36602000,Алексеевский район,SAM
36604000,Безенчукский район,SAM
36606000,Богатовский район,SAM
36608000,Большеглушицкий район,SAM
36610000,Большечерниговский район,SAM
36612000,Борский район,SAM
36614000,Волжский район,SAM
36615000,Елховский район,SAM
36616000,Исаклинский район,SAM
36617000,Камышлинский район,SAM
36618000,Кинельский район,SAM
36620000,Кинель-Черкасский район,SAM
36622000,Клявлинский район,SAM
36624000,Кошкинский район,SAM
36626000,Красноармейский район,SAM
36628000,Красноярский район,SAM
36630000,Нефтегорский район,SAM
36632000,Пестравский район,SAM
