dt,hour,tid,gender,age,customers_cnt
2016-02-01,13,Himki,2,2,333
2016-02-01,13,Himki,2,3,276
2016-02-01,13,Himki,2,4,134
2016-02-01,13,Metropolis,1,1,204
2016-02-01,13,Metropolis,1,2,680
2016-02-01,13,Metropolis,1,3,309
2016-02-01,13,Metropolis,1,4,193
2016-02-01,13,Metropolis,2,1,319
2016-02-01,13,Metropolis,2,2,787
2016-02-01,13,Metropolis,2,3,356
2016-02-01,13,Metropolis,2,4,171
2016-02-01,13,Shuka,1,1,61
2016-02-01,13,Shuka,1,2,300
2016-02-01,13,Shuka,1,3,158
2016-02-01,13,Shuka,1,4,87
2016-02-01,13,Shuka,2,1,42
2016-02-01,13,Shuka,2,2,227
2016-02-01,13,Shuka,2,3,169
2016-02-01,13,Shuka,2,4,53
2016-02-01,14,Himki,1,1,140
2016-02-01,14,Himki,1,2,458
2016-02-01,14,Himki,1,3,256
2016-02-01,14,Himki,1,4,133
2016-02-01,14,Himki,2,1,97
2016-02-01,14,Himki,2,2,415
2016-02-01,14,Himki,2,3,208
2016-02-01,14,Himki,2,4,84
2016-02-01,14,Metropolis,1,1,279
2016-02-01,14,Metropolis,1,2,731
2016-02-01,14,Metropolis,1,3,307
2016-02-01,14,Metropolis,1,4,168
2016-02-01,14,Metropolis,2,1,326
2016-02-01,14,Metropolis,2,2,771
2016-02-01,14,Metropolis,2,3,338
2016-02-01,14,Metropolis,2,4,113
2016-02-01,14,Shuka,1,1,76
2016-02-01,14,Shuka,1,2,287
2016-02-01,14,Shuka,1,3,243
2016-02-01,14,Shuka,1,4,106
2016-02-01,14,Shuka,2,1,87
2016-02-01,14,Shuka,2,2,348
2016-02-01,14,Shuka,2,3,125
2016-02-01,14,Shuka,2,4,102
2016-02-01,15,Himki,1,1,107
2016-02-01,15,Himki,1,2,488
2016-02-01,15,Himki,1,3,283
2016-02-01,15,Himki,1,4,114
2016-02-01,15,Himki,2,1,129
2016-02-01,15,Himki,2,2,322
2016-02-01,15,Himki,2,3,241
2016-02-01,15,Himki,2,4,179
2016-02-01,15,Metropolis,1,1,221
2016-02-01,15,Metropolis,1,2,765
2016-02-01,15,Metropolis,1,3,285
2016-02-01,15,Metropolis,1,4,177
2016-02-01,15,Metropolis,2,1,339
2016-02-01,15,Metropolis,2,2,672
2016-02-01,15,Metropolis,2,3,308
2016-02-01,15,Metropolis,2,4,129
2016-02-01,15,Shuka,1,1,91
2016-02-01,15,Shuka,1,2,410
2016-02-01,15,Shuka,1,3,254
2016-02-01,15,Shuka,1,4,128
2016-02-01,15,Shuka,2,1,106
2016-02-01,15,Shuka,2,2,359
2016-02-01,15,Shuka,2,3,175
2016-02-01,15,Shuka,2,4,155
2016-02-01,16,Himki,1,1,91
2016-02-01,16,Himki,1,2,524
2016-02-01,16,Himki,1,3,294
2016-02-01,16,Himki,1,4,160
2016-02-01,16,Himki,2,1,95
2016-02-01,16,Himki,2,2,358
2016-02-01,16,Himki,2,3,232
2016-02-01,16,Himki,2,4,105
2016-02-01,16,Metropolis,1,1,233
2016-02-01,16,Metropolis,1,2,696
2016-02-01,16,Metropolis,1,3,277
2016-02-01,16,Metropolis,1,4,166
2016-02-01,16,Metropolis,2,1,308
2016-02-01,16,Metropolis,2,2,757
2016-02-01,16,Metropolis,2,3,328
2016-02-01,16,Metropolis,2,4,163
2016-02-01,16,Shuka,1,1,83
2016-02-01,16,Shuka,1,2,437
2016-02-01,16,Shuka,1,3,192
2016-02-01,16,Shuka,1,4,83
2016-02-01,16,Shuka,2,1,95
2016-02-01,16,Shuka,2,2,432
2016-02-01,16,Shuka,2,3,239
2016-02-01,16,Shuka,2,4,108
2016-02-01,17,Himki,1,1,140
2016-02-01,17,Himki,1,2,511
2016-02-01,17,Himki,1,3,289
2016-02-01,17,Himki,1,4,87
2016-02-01,17,Himki,2,1,113
2016-02-01,17,Himki,2,2,391
2016-02-01,17,Himki,2,3,201
2016-02-01,17,Himki,2,4,115
2016-02-01,17,Metropolis,1,1,252
2016-02-01,17,Metropolis,1,2,691
2016-02-01,17,Metropolis,1,3,237
2016-02-01,17,Metropolis,1,4,143
2016-02-01,17,Metropolis,2,1,205
2016-02-01,17,Metropolis,2,2,512
2016-02-01,17,Metropolis,2,3,280
2016-02-01,17,Metropolis,2,4,133
2016-02-01,17,Shuka,1,1,99
2016-02-01,17,Shuka,1,2,361
2016-02-01,17,Shuka,1,3,131
2016-02-01,17,Shuka,1,4,60
2016-02-01,17,Shuka,2,1,64
2016-02-01,17,Shuka,2,2,311
2016-02-01,17,Shuka,2,3,205
2016-02-01,17,Shuka,2,4,114
2016-02-01,18,Himki,1,1,137
2016-02-01,18,Himki,1,2,458
2016-02-01,18,Himki,1,3,246
2016-02-01,18,Himki,1,4,46
2016-02-01,18,Himki,2,1,102
2016-02-01,18,Himki,2,2,313
2016-02-01,18,Himki,2,3,106
2016-02-01,18,Himki,2,4,101
2016-02-01,18,Metropolis,1,1,191
2016-02-01,18,Metropolis,1,2,522
2016-02-01,18,Metropolis,1,3,190
2016-02-01,18,Metropolis,1,4,128
2016-02-01,18,Metropolis,2,1,193
2016-02-01,18,Metropolis,2,2,404
2016-02-01,18,Metropolis,2,3,178
2016-02-01,18,Metropolis,2,4,180
2016-02-01,18,Shuka,1,1,68
2016-02-01,18,Shuka,1,2,173
2016-02-01,18,Shuka,1,3,96
2016-02-01,18,Shuka,1,4,68
2016-02-01,18,Shuka,2,1,53
2016-02-01,18,Shuka,2,2,244
2016-02-01,18,Shuka,2,3,140
2016-02-01,18,Shuka,2,4,42
2016-02-01,19,Himki,1,1,80
2016-02-01,19,Himki,1,2,406
2016-02-01,19,Himki,1,3,191
2016-02-01,19,Himki,1,4,68
2016-02-01,19,Himki,2,1,61
2016-02-01,19,Himki,2,2,254
2016-02-01,19,Himki,2,3,123
2016-02-01,19,Himki,2,4,111
2016-02-01,19,Metropolis,1,1,99
2016-02-01,19,Metropolis,1,2,341
2016-02-01,19,Metropolis,1,3,121
2016-02-01,19,Metropolis,1,4,106
2016-02-01,19,Metropolis,2,1,133
2016-02-01,19,Metropolis,2,2,269
2016-02-01,19,Metropolis,2,3,110
2016-02-01,19,Metropolis,2,4,118
2016-02-01,19,Shuka,1,1,56
2016-02-01,19,Shuka,1,2,125
2016-02-01,19,Shuka,1,3,38
2016-02-01,19,Shuka,1,4,27
2016-02-01,19,Shuka,2,1,53
2016-02-01,19,Shuka,2,2,148
2016-02-01,19,Shuka,2,3,65
2016-02-01,19,Shuka,2,4,15
